CmteID,entity_id
C00383422,006647e04ce64cc0a8a0d46e45b390ac
C00285098,012a8bd14e5441adbb153840afb5b674
C00522318,018e5c0964614d0882138d77e1052be4
C00378695,024e50a5e06d4cdda86f07b5a44c2228
C00381384,02b3c6f9a1ba458fbf9623e02cfd4001
C00491183,030bed2e80e54303b9ef68d17a98587f
C00359448,042b29198147400a87964d41f92959e0
C00388694,046ce370088a489997d92271f36249ca
C00494112,04763defbce9498c935862ab6cb5b51f
C00491241,048563d4685b4fcab08889881f066fff
C00412320,049bcf8f44e94368816f401ecc15bcb8
C00448696,049bcf8f44e94368816f401ecc15bcb8
C00494559,058d2dea4e8c41f5a31ecf92210f0510
C00409136,06385fb16b624ac284b844ed177f7e95
C00483727,066c5ae891da4d069d613d8c90be714b
C00505693,06c3f03746c44a78a4fd3e135df4e5c3
C00458307,09e41498c9ea48fd9d285e70579f4c06
C00342378,09f1b119978d4668a6c0d3501ab6ba8b
C00436295,0a45a2621e79498a8ba264eedbe0624b
C00433680,0aab575c5cec4e36a2529011488c00fa
C00383869,0b2402aa5e3943ccaf12e7e589b85c66
C00344788,0b80b674f3d142e99f1d4784511becce
C00425447,0bcd3fa0d6a1461d9e8e2948bd853c1e
C00491142,0f155c1daf5b438ab0b465652ac92b8b
C00491522,105c0993e24244a4add6b30a1cb5dc20
C00502187,10e885e35c4b44f1a1c5b7ffec6ef6a3
C00505297,11bd6ed724be4cb09a12807d800f35fb
C00426494,11dea6adeeb143ad9a16e055e169dce0
C00398750,122324cfb0db485cb8f1b04369154b2c
C00492025,132bd6de165540159b7d7fc51c8e9253
C00383927,13bc137f194e4912b32eea2f8da7ead0
C00510248,13fda665a73849099d22f59f24bac77e
C00433177,147bf690398c4fdcb37695eb402434c2
C00494047,151876cf4e3946f49c6afcb9be23de1a
C00409672,156426c3590847128b18b91c7ed7df13
C00368696,159c40291deb455596155ded63972bf4
C00402909,15b92482eefc46aa8f43083a62148f8f
C00370932,16685e69faeb4475b16a68aeb8900579
C00493809,168ab1953d4f4d30a985f9bd41ccc89a
C00296640,1697cf26d87045b08c59242799682a4a
