P000607,e775eaa948444f849349cd99ffe8d416
H001064,22042d9487784aec8d0229f66111307b
K000381,4f6d955e291345bdbd955b84f3f26428
K000384,7db99975439d4def9da803e1496a082d
S001192,871bf59f14fd425da0fb22208d1206a0
V000132,45e9b4b9d2a44a78ab0fbabf1a49ea7f
V000131,f7f2df7e506b402ab35e278f17b89e63
W000816,5ded495cb4b54079aaa2157b6809bc0a
G000572,95b6858f5faa4ba1bb12ead5147b78ac
C001091,e1b1bacec988471fa1e4aa7d4c6dd3f5
O000170,59fd391757a642ffb541248c19add93e
W000814,c33ce427ed0148fcb61a9a81453467ea
C001098,11b86e4675ad46da80a0c00af4f1f66b
R000597,8f27be0946274a57aee2610a692d101e
C001090,b24855f553b9412e9fc3e9c0d60d947b
R000598,eb3523863f0c4b26ad49958c081596df
P000605,a3be19b86ce444babbd31bab9743a003
M001190,b09d9ff8a0bd4ae3973eada9b3b62cef
B001283,4c58030df55242c49bad3a409968ea41
J000295,e5c1ec153a2745a980abd31267824c8f
B001281,58cc4fd6731c4962a259682abeeba9cc
W000815,cf768e4a32374d93a9ef5eba17d20c1e
C001092,0750724106ff4219b20dbaf049923e7f
M001185,da4b8e25cc54403ea76ee88841e329c7
J000294,9a8c54a7d48f4b96a16bd179ee071b44
M001188,e1284c410cd84c8080503963a046c743
H001066,787c3153d48449219929c89d48b6b49d
L000580,75b7c29435044f7ab33ca3c1ada74754
K000382,fc44a3ad9e1a4841a24b3149b82a04fd
F000463,9f2a31bcb6c646ad91d6622a4f12dc6e
C001096,84f09c52074c45fa8fe4de5f183b8782
H001069,1dfbcae9120b4d3db8b96174c08788b4
H001065,a914727a471f426db139f78377dd17cd
M001187,aa5272abe648488a9975b3c38621373a
P000606,9bf0ffeefce143cfb0ff4a0e1d017737
H001067,031dda1de21c40b6be5d2b7b9fbb95af
D000618,349b84f5a2734a0d82efd79198bc3a61
W000812,77c92a08ba9c4258a31cfebc9796bc5c
B001280,38a9acd0274a48949f3f44af7edb7268
K000380,782b25bddadb4743a27f64ae128cb46a
K000383,af5bfe22f15c429b93b0aa4e57421255
D000620,db6c5cb9ef344e21876350317992fcec
K000379,8ab2e59fbc124cc3981ec0c83aa49139
W000817,42ccd9758603419ba38a2546d96a0f02
B001282,efd14beda7564bb990608ab208ecbe43
M001189,4ca63d0e3dc34c4f94366d45329b760d
B001284,15347c62305d4b79869577916d2b4f88
P000607,e775eaa948444f849349cd99ffe8d416
H001064,22042d9487784aec8d0229f66111307b
K000381,4f6d955e291345bdbd955b84f3f26428
K000384,7db99975439d4def9da803e1496a082d
S001192,871bf59f14fd425da0fb22208d1206a0
V000132,45e9b4b9d2a44a78ab0fbabf1a49ea7f
